# Output from hector version 1.1
run_name,Year,Ca,Ftot
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1946,303.185,0.40268
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1947,303.429,0.399397
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1948,303.748,0.403921
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1949,304.118,0.404161
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1950,304.486,0.409672
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1951,304.884,0.405076
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1952,305.397,0.393921
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1953,305.975,0.382512
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1954,306.55,0.386326
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1955,307.128,0.408512
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1956,307.752,0.42277
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1957,308.448,0.437302
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1958,309.191,0.448259
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1959,309.96,0.451672
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1960,310.733,0.385075
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1961,311.509,0.30322
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1962,312.295,0.238868
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1963,313.082,-0.231106
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1964,313.893,-0.575831
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1965,314.697,-0.240986
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1966,315.493,0.15659
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1967,316.344,0.302593
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1968,317.282,0.124167
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1969,318.279,0.0709237
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1970,319.318,0.336725
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1971,320.417,0.559816
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1972,321.563,0.654955
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1973,322.749,0.666891
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1974,324.01,0.581385
